username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
KulpaBart;2016-06-16 16:45;0;0;". @ JeremyClarkson: "... James and I only agree on three things, which is ... and Britain staying in.” # Brexit # EUref # StrongerIn # Topgear";;@;# # # #;"743454496609665024";https://twitter.com/KulpaBart/status/743454496609665024
rachaelhmooney;2016-06-16 16:11;0;0;"# streetart # london # brexit # remain # churchill # england @Soho https://www.instagram.com/p/BGt95BdghwF/";;@Soho;# # # # # #;"743445849041080320";https://twitter.com/rachaelhmooney/status/743445849041080320
GuardianTrustFX;2016-06-16 16:00;0;0;"Trapped Traders® Daily Analysis - Selling # NZDUSD https://youtu.be/FrlZPFcdOxk  via @ YouTube # forextrading # Brexit";;@;# # #;"743443192595488769";https://twitter.com/GuardianTrustFX/status/743443192595488769
PhoenixBTrading;2016-06-16 15:55;0;0;"Brexit fears weighing on the markets... Where to put your money. Safe havens # GOLD # JPY # usd… https://www.instagram.com/p/BGt8GQ_JXIA/";;;# # #;"743441899952955392";https://twitter.com/PhoenixBTrading/status/743441899952955392
Ride_Velo;2016-06-16 15:32;0;2;"Biking Boys Say No to Brexit http://www.ridevelo.cc/shorts/2016/6/16/riding-for-the-remain-campaign …";;;;"743436045824430080";https://twitter.com/Ride_Velo/status/743436045824430080
friendly_bishop;2016-06-16 15:22;0;0;"dreams of working for @ EU_Commission aside, # Brexit ppl please have a look at the amazing collaborative work they do.";;@;#;"743433598741655552";https://twitter.com/friendly_bishop/status/743433598741655552
mcfontaine;2016-06-16 15:18;2;2;"# AudioMo - Day 15 - Brexit Brassneck https://audioboom.com/boos/4706328-audiomo-day-15-brexit-brassneck … via @ audioBoom # audiomo # audiomo2016 # voteremain";;@;# # # #;"743432660471660545";https://twitter.com/mcfontaine/status/743432660471660545
LouiseKms;2016-06-16 15:18;0;0;"RT @ OwenJones84: Nigel Farage could be a Cabinet minister in weeks after Brexit. https://twitter.com/MichaelLCrick/status/743068947789021184 …";;@;;"743432494368886785";https://twitter.com/LouiseKms/status/743432494368886785
SWFGreens;2016-06-16 14:51;0;0;"# Greens: Green Party calls out ‘immigration lies’ from Brexit campaign and launches positive free movement campaign https://goo.gl/6kw4dd";;;#;"743425656952762370";https://twitter.com/SWFGreens/status/743425656952762370
racingindore;2016-06-16 14:36;1;0;"yes, let's get out of the # EU double quick and get some pride back # Brexit";;;# #;"743422022517198849";https://twitter.com/racingindore/status/743422022517198849
wells_dj;2016-06-16 14:30;0;0;"Interesting from Leave: not disputing economic effect of # brexit, just whether Bank can tell us. # spooky";;;# #;"743420558772166656";https://twitter.com/wells_dj/status/743420558772166656
carr_davec;2016-06-16 13:46;0;0;"Brexit will result in General Election";;;;"743409509415141376";https://twitter.com/carr_davec/status/743409509415141376
HantsEuroMove;2016-06-16 13:44;0;0;"brexit gives despair. What risks would you like to talk about.";;;;"743408972737183744";https://twitter.com/HantsEuroMove/status/743408972737183744
Essex_Marketing;2016-06-16 13:40;0;0;"What would Brexit mean for # marketing regulations? http://dlvr.it/LZXvkN # Essexpic.twitter.com/j2f5Bmf4D6";;;# #;"743407836063903744";https://twitter.com/Essex_Marketing/status/743407836063903744
GuardianTrustFX;2016-06-16 13:36;0;0;"How To Trade # Forex - Trapped Traders® Daily Analysis - Selling # NZDUSD https://youtu.be/FrlZPFcdOxk  via @ YouTube # Brexit # MT4";;@;# # # #;"743406785004978176";https://twitter.com/GuardianTrustFX/status/743406785004978176
SWFLabour;2016-06-16 13:16;0;0;"# Labour: Don’t blame migrants or the EU for Britain’s problems – Corbyn speech on Brexit http://j.mp/23dCfni pic.twitter.com/XN9SsSUyA3";;;#;"743401777295306752";https://twitter.com/SWFLabour/status/743401777295306752
Essex_Marketing;2016-06-16 13:08;4;1;"What would Brexit mean for ‘ # brand Britain’? http://dlvr.it/LZXGd9 # Essexpic.twitter.com/2xK0LGRuHW";;;# #;"743399782509514752";https://twitter.com/Essex_Marketing/status/743399782509514752
Essex_Marketing;2016-06-16 13:08;6;0;"What would Brexit mean for recruiting talent? http://dlvr.it/LZXGJy # Essexpic.twitter.com/Yh46HvN4J9";;;#;"743399773030387713";https://twitter.com/Essex_Marketing/status/743399773030387713
HantsEuroMove;2016-06-16 13:00;0;0;"but it does equal who you will get. If we leave we will be governed by liars from Brexit as Boris Gove etc take over";;;;"743397822922268672";https://twitter.com/HantsEuroMove/status/743397822922268672
gwynneevan;2016-06-16 12:54;0;1;"Osborne has accidentally exposed how ridiculous his austerity cuts were through his post-Brexit Budg... http://news360.com/article/355787201 … Incompetent!";;;;"743396373865893888";https://twitter.com/gwynneevan/status/743396373865893888
Newsminster;2016-06-16 12:42;2;0;"Leave or Remain in the EU? The arguments for and against Brexit http://bit.ly/1Q7vKjS # Politicspic.twitter.com/SMllEIVAXV";;;#;"743393325965676545";https://twitter.com/Newsminster/status/743393325965676545
MarysiaT;2016-06-16 12:24;1;0;"My live interview on @ londonlive about my Songs of Brexit webseries by The Singing Psychic Link… https://www.instagram.com/p/BGtj50vmxm0/";;@;;"743388701875535872";https://twitter.com/MarysiaT/status/743388701875535872
nicola291;2016-06-16 12:21;0;0;"# brexit # thegreatescape nigelfarage @The Houses of Parliament https://www.instagram.com/p/BGtjjGjSPgn/";;@The;# #;"743387920438951936";https://twitter.com/nicola291/status/743387920438951936
SWFLabour;2016-06-16 12:14;0;0;"# Labour: Corbyn lays into Tory Brexit camp over EU “blame game” http://j.mp/1Q7sl4w pic.twitter.com/oqMppAFKFv";;;#;"743386166091616256";https://twitter.com/SWFLabour/status/743386166091616256
GSMAlumni;2016-06-16 12:01;0;1;"Eu referendum happening today in greenford at 1120am Mp Stephen Pound debates # Brexit # GSMHorizonAward # gsmcareerspic.twitter.com/t7gOvgdhZm";;;# # #;"743383001581649920";https://twitter.com/GSMAlumni/status/743383001581649920
JoannieCo;2016-06-16 11:43;0;1;"# SaveTheRomainianChildren # VoteLeave Stop greedy parents leaving them alone. its not right! # Brexit # SOS # VictoriaLive # No2EU";;;# # # # # #;"743378432340410368";https://twitter.com/JoannieCo/status/743378432340410368
