ClaireMeeLDN;18/06/2016 19:20;0;0;# politics # brexit infiltrating everywhere # hurtwoodpoloclub # protatecanceruk @Hurtwood Park… https://www.instagram.com/p/BGzdL43zZYx/;;@Hurtwood;# # # #;7,44218E+17;https://twitter.com/ClaireMeeLDN/status/744218352642490368
Comediandana;19/06/2016 01:00;1;2;Just remember that the immigrants here did not enslave you, steal land, commit genocide & try to erase your culture # brexit # britainfirst;;;# #;7,44304E+17;https://twitter.com/Comediandana/status/744303909418721281
CornwaII;15/06/2016 17:13;0;0;"Cornwall's fishermen urge &quot;Brexit&quot; vote in next week's... http://j.mp/23acmEY # Cornwall # Kernow";;;# #;7,43099E+17;https://twitter.com/CornwaII/status/743099026468274176
CornwaII;21/06/2016 14:58;0;0;Brexit: EU Trade Marks http://j.mp/28LqbIy # Cornwall # Kernowpic.twitter.com/krcxQns6Wp;;;# #;7,45239E+17;https://twitter.com/CornwaII/status/745239389651906560
Corpo_Insider;15/06/2016 13:35;0;0;# CelioGermanyDesk 'Brexit Angst': The German fear of being alone http://dlvr.it/LZ5hw4;;;#;7,43044E+17;https://twitter.com/Corpo_Insider/status/743044171242475521
Corpo_Insider;16/06/2016 05:09;0;0;# CelioEconomicsDesk FTSE 100 falls 2% as investors fret over Brexit http://dlvr.it/LZNJKd;;;#;7,43279E+17;https://twitter.com/Corpo_Insider/status/743279326330687495
Corpo_Insider;16/06/2016 20:21;0;0;# CelioEconomicsDesk Rolls-Royce: 'Brexit is about uncertainty' http://dlvr.it/LZhGNy;;;#;7,43509E+17;https://twitter.com/Corpo_Insider/status/743508730889764864
Corpo_Insider;18/06/2016 11:57;0;0;# CelioEconomicsDesk Brexit poses global financial risk, Bank of England warns http://dlvr.it/LbMTK1;;;#;7,44107E+17;https://twitter.com/Corpo_Insider/status/744106778523111424
Corpo_Insider;18/06/2016 17:37;0;0;# CelioSchreibtisch Fotokünstler Tillmans vermisst Aufschrei der Kultur zu Brexit http://dlvr.it/LbSbv7 # Deutschland;;;# #;7,44192E+17;https://twitter.com/Corpo_Insider/status/744192423975235586
Cretaegus;20/06/2016 15:04;0;0;I have so enjoyed this recession I think I'll try to bring about another by voting for Brexit.;;;;7,44879E+17;https://twitter.com/Cretaegus/status/744878612957044736
DSWillemSchuur;16/06/2016 08:14;0;0;Met aanhoudende supportersgeweld van Britten kan UEFA wel eens gaan zorgen voor een Brexit voor de 23e # ek;;;#;7,43326E+17;https://twitter.com/DSWillemSchuur/status/743325774027984897
DSWillemSchuur;19/06/2016 14:28;0;0;Britain:Europe cant miss you lets fight againt red tape and for freedom in europe together with english humour@brexit # Brexit;;@brexit;#;7,44507E+17;https://twitter.com/DSWillemSchuur/status/744507240669904897
D_1_0_S;21/06/2016 15:01;0;0;# Brexit # Londres # London # GB # Inglaterra # GranBretaña # UnitedKindom # UK @London, United Kingdom https://www.instagram.com/p/BG6t6E2PydR/;;@London;# # # # # # # #;7,4524E+17;https://twitter.com/D_1_0_S/status/745240281503637504
DaiIyLONDON;15/06/2016 10:02;0;1;Risky business? City divided on impact of Brexit http://j.mp/1Q3BD1w # Londonpic.twitter.com/gxNYga2vtk;;;#;7,42991E+17;https://twitter.com/DaiIyLONDON/status/742990576912629760
DaiIyLONDON;20/06/2016 00:02;0;0;Channel 4 News barred from 'oversubscribed' Brexit rally http://j.mp/24ZzQMo # Londonpic.twitter.com/Mesfmt68pd;;;#;7,44652E+17;https://twitter.com/DaiIyLONDON/status/744651510424862720
DaiIyLONDON;20/06/2016 12:02;0;0;London and the EU: how Brexit could damage Remain City http://j.mp/28ItuRD # Londonpic.twitter.com/nQKnZFFLdl;;;#;7,44833E+17;https://twitter.com/DaiIyLONDON/status/744832692043186176
DaiIyLONDON;21/06/2016 15:02;0;0;Boris Johnson says he will make TV apology if recession follows Brexit – video http://j.mp/28QPd6G # Londonpic.twitter.com/wm3S2JA9JW;;;#;7,4524E+17;https://twitter.com/DaiIyLONDON/status/745240404446961664
DailyBEDS;18/06/2016 14:44;1;0;FARMING MATTERS: Brexit is best for many farmers says our columnist http://goo.gl/Le9sRT # Bedfordshirepic.twitter.com/5Mr3UrFqqz;;;#;7,44149E+17;https://twitter.com/DailyBEDS/status/744148689896148992
DailyBEDS;21/06/2016 22:14;1;0;Pub regulars urged to back Brexit to protect ‘Queen’s Head’ http://goo.gl/wkLg2L # Bedfordshirepic.twitter.com/TvlQFDYgQO;;;#;7,45349E+17;https://twitter.com/DailyBEDS/status/745349101856792577
DailyBRUM;20/06/2016 16:51;0;0;EU referendum poll and odds latest - are we heading for Brexit? http://j.mp/28Iy29I # Birminghampic.twitter.com/r0G2Z4mJMN;;;#;7,44905E+17;https://twitter.com/DailyBRUM/status/744905456531824641
DailyBRUM;21/06/2016 15:42;0;0;Midlands Engine boss:Brexit threatens foundations of our plans http://j.mp/28Lxcsz # Birminghampic.twitter.com/ayC3uefRse;;;#;7,4525E+17;https://twitter.com/DailyBRUM/status/745250461557481474
DailyBUCKS;16/06/2016 10:08;0;0;The great in out debate: Local leaders share their views on Brexit http://j.mp/23ddRlR # Buckspic.twitter.com/fjOFxUnd1v;;;#;7,43354E+17;https://twitter.com/DailyBUCKS/status/743354466846400516
DailyBUCKS;18/06/2016 09:03;0;0;FARMING MATTERS: Brexit is best for many farmers says our columnist http://j.mp/24Xc83m # Buckspic.twitter.com/cko2PYRTek;;;#;7,44063E+17;https://twitter.com/DailyBUCKS/status/744062911786684416
DailyCAMBRIDGE;21/06/2016 21:26;0;0;‘Hope not fear’ the message of Iain Duncan Smith as he brings his Brexit… http://j.mp/28MzdFd # Cambridgeshirepic.twitter.com/0vzI0yNvna;;;#;7,45337E+17;https://twitter.com/DailyCAMBRIDGE/status/745337037927047168
DailyCHESHIRE;15/06/2016 21:03;0;0;EU Referendum: six arguments for and against Brexit http://j.mp/23aLV1X # Cheshirepic.twitter.com/ivOuf28OWW;;;#;7,43157E+17;https://twitter.com/DailyCHESHIRE/status/743156935415848960
DailyDERBYS;20/06/2016 15:30;1;0;A man has died after crashing into a Brexit trailer in Derbyshire http://j.mp/28JtTzP # Derbyshirepic.twitter.com/W1fVFtqSWp;;;#;7,44885E+17;https://twitter.com/DailyDERBYS/status/744885165445373952
DailyDERBYS;20/06/2016 15:45;1;0;A man has died after crashing into a Brexit trailer in Derbyshire http://j.mp/28IYwIR # Derbyshirepic.twitter.com/MDP26CYr3x;;;#;7,44889E+17;https://twitter.com/DailyDERBYS/status/744888836010835968
DailyDERBYS;20/06/2016 19:49;1;0;# Derby UKIP politician backs Brexit - but he met his wife because... http://j.mp/28LHEhA # Derbyshirepic.twitter.com/jNDuauiHWN;;;# #;7,4495E+17;https://twitter.com/DailyDERBYS/status/744950230643154945
DailyESSEX;17/06/2016 20:18;0;0;# Essex: Chancellor George Osborne warns Brexit could pull plug on the Lower Thames Crossing http://j.mp/261Q3Xl pic.twitter.com/Xfws6hSNE8;;;#;7,4387E+17;https://twitter.com/DailyESSEX/status/743870391894978560
DailyESSEX;20/06/2016 09:48;0;0;# Essex: Chancellor George Osborne warns Brexit could pull plug on the Lower Thames Crossing http://j.mp/28IdsXD pic.twitter.com/IveVWBhWr7;;;#;7,44799E+17;https://twitter.com/DailyESSEX/status/744799003292770304
DailyESSEX;20/06/2016 10:01;0;0;# Essex: Chancellor George Osborne warns Brexit could pull plug on the Lower Thames Crossing http://j.mp/28Ig4S7 pic.twitter.com/YSAj9e2Qbr;;;#;7,44802E+17;https://twitter.com/DailyESSEX/status/744802380424712192
DailyESSEX;21/06/2016 13:18;0;0;"# Essex: People are richer for us being in the EU"": Essex economist explains why Brexit… http://j.mp/28LbDbH pic.twitter.com/TlHhBcMXB3""";;;#;7,45214E+17;https://twitter.com/DailyESSEX/status/745214249350266881
DailyESSEX;21/06/2016 18:19;0;0;# Essex: 'Political pirate' Nigel Farage takes to the waves as Brexit campaign hits Harwich http://j.mp/28RTJBJ pic.twitter.com/qPEYP3wlzy;;;#;7,4529E+17;https://twitter.com/DailyESSEX/status/745290165229236224
